CMUN,POP21
05138,325
05139,71
05140,108
05141,99
05142,91
05143,66
05144,71
05145,38
05149,106
05147,159
05148,29
05152,714
05153,79
05151,91
05154,32
05155,46
05156,358
05157,221
05158,340
05159,209
05160,322
05161,765
05162,87
05163,2135
05164,22
05165,424
05166,175
05167,272
05168,5231
05169,243
05170,55
05171,65
05172,188
05173,82
05174,73
05175,149
05176,280
05177,137
05178,387
05179,228
05180,61
05181,41
05182,807
05183,135
05184,273
05185,116
05186,1754
05187,2136
05188,38
05189,428
05190,49
05191,104
05192,114
05193,168
05194,131
05195,196
05196,67
05197,118
05198,67
05199,44
05200,40
05201,521
05206,23
05208,45
05207,736
05209,71
05901,255
05210,74
05211,466
05212,206
05213,85
05214,33
05215,163
05216,188
05217,53
05218,112
05219,43
05220,445
05231,172
05204,727
05205,85
05222,162
05221,324
05226,66
05224,105
05225,373
05902,314
05227,484
05228,168
05904,110
05229,72
05230,69
05232,134
05233,245
05234,41
05235,141
05236,112
05237,145
05238,815
05239,230
05240,4721
05241,4414
05242,766
05243,76
05244,37
05245,429
05247,219
05246,47
05249,103
05251,58
05252,60
05253,71
05254,212
05256,103
05257,141
05905,217
05258,116
05259,105
05260,107
05261,37
05262,332
05263,159
05264,50
05265,80
05266,85
05267,100
06001,820
06002,5467
06003,851
06004,1850
06005,2026
06006,5245
06007,1654
06008,744
06009,250
06010,1223
06011,33741
06012,4081
06013,288
06014,7702
06015,150610
06016,3498
06017,258
06018,808
06019,2306
06020,2087
06021,1017
06022,3076
06023,4732
06024,1298
06025,6152
06026,946
06027,721
06028,4823
06029,1333
06030,165
06031,532
06032,90
06033,1456
06034,202
06035,903
06036,5708
06042,1172
06037,2049
06038,878
06039,2175
06040,1207
06041,551
06043,784
06044,37275
06045,552
06046,1474
06047,994
06048,895
06049,1077
06050,4811
06051,1793
06052,4684
06053,681
06054,6704
06055,2244
06056,510
06057,554
06058,2334
06059,1965
06903,2465
06060,6812
06061,1206
06062,612
06063,3465
06064,937
06065,335
