CMUN,POPULATION_PERC_NATURAL_GROWTH_2020
01051,-0.1007658202337767
01001,0.2068252326783868
01002,-0.1265946051222125
01049,-1.2987012987012987
01003,-0.9078212290502794
01006,-0.45662100456621
01037,-0.5
01008,-0.591715976331361
01004,-0.11204481792717086
01009,-0.6112469437652812
01010,-0.3469812630117973
01011,-0.7017543859649122
01013,0.0
01014,-0.8948545861297539
01016,-1.2987012987012987
01017,-0.18484288354898337
01021,0.47318611987381703
01022,-0.7021063189568706
01023,-0.3076923076923077
01047,-0.4418262150220913
01046,-0.3605769230769231
01056,-1.3274336283185841
01901,0.27256208358570566
01027,-0.1890359168241966
01019,-1.7142857142857144
01020,0.0
01028,-0.1986754966887417
01030,-0.5813953488372093
01031,-0.06920415224913494
01032,-0.4444444444444444
01902,-0.21953896816684962
01033,-1.160092807424594
01036,-0.6005338078291814
01058,0.10085728693898136
01034,-0.9090909090909091
01039,0.4716981132075472
01041,-2.209944751381215
01042,-0.6762468300929839
01043,0.0
01044,0.0
01052,-5.514705882352941
01053,-0.9762900976290098
01054,0.2822865208186309
01055,-0.5714285714285714
01057,0.34843205574912894
01059,-0.23044138695414695
01060,-1.9762845849802373
01061,0.5208333333333333
01062,-0.23364485981308408
01018,-0.443213296398892
01063,-1.2741652021089631
02001,-0.4195804195804196
02002,-1.1952191235059761
02003,-0.36156420397369593
02004,-0.7407407407407408
02005,-1.6272189349112427
02006,-1.1075949367088607
02007,-1.7497812773403325
02008,-1.077752117013087
02009,-0.3542301672295906
02010,0.04405286343612335
02011,-2.3972602739726026
02012,-0.2568493150684931
02014,0.48543689320388345
02013,0.0
02015,-0.7186290768380321
02016,-0.16778523489932887
02017,-2.994791666666667
02018,-0.9718172983479106
02019,-1.0405053883314752
02020,-2.620967741935484
02021,-0.8094186902133923
02022,-3.0395136778115504
02023,-2.3008849557522124
02024,-1.1514614703277237
02025,-0.07028818154433177
02026,0.41946308724832215
02029,-0.7280413339596055
02027,-2.622950819672131
02028,0.0
02030,-0.3105590062111801
02031,-1.9077901430842605
02032,-1.083032490974729
02033,-0.7358953393295176
02034,-0.5521811154058531
02035,0.03968253968253968
02036,-2.0202020202020203
02037,-0.2982206169853209
02038,0.6349206349206349
02039,-1.048951048951049
02040,-2.027027027027027
02041,-0.27472527472527475
02042,-1.208791208791209
02043,-1.6628873771730914
02044,-2.224199288256228
02045,-0.36496350364963503
02046,-0.5772005772005772
02047,-0.9523809523809524
02048,-1.0101010101010102
02049,-2.2485207100591715
02050,-2.3255813953488373
02051,-0.9542943244600702
02052,-1.3179571663920924
02053,-1.252913752913753
02054,0.0
02055,-1.1676396997497915
02056,-0.6615776081424937
02057,-1.1150758251561106
02058,-3.374233128834356
02060,-1.7167381974248928
02059,-1.8633540372670807
02061,-1.0447761194029852
02062,-2.2277227722772275
02901,-0.3979739507959479
02063,-1.451104100946372
02064,-3.061224489795918
02065,-1.935483870967742
02066,-1.7777777777777777
02067,-0.6792452830188679
02068,-0.7692307692307693
02069,-0.5518405505421021
02070,-3.711790393013101
02071,-1.5803336259877085
02072,-1.989467524868344
02073,-0.5997730588426001
02074,-0.9798798014110269
02075,-1.3831967213114753
02076,-1.834862385321101
02077,-1.6129032258064515
02078,-1.3812154696132597
02079,-0.5755755755755756
02080,-2.7027027027027026
02081,-0.5314009661835749
02082,-2.7777777777777777
02083,-2.314814814814815
02084,-2.694610778443114
02085,-0.906344410876133
02086,-1.966181675186787
03002,-0.18442622950819673
03003,0.34423407917383825
03004,0.0
03005,0.31570639305445936
03006,-0.7485029940119761
03007,-1.646090534979424
03008,0.546448087431694
03009,-0.5468949654996167
03010,-0.24509803921568626
03011,-0.15026685320482927
03012,-1.0532475131655938
03013,-0.37285607755406414
03014,-0.18603093138090582
03015,0.24067956583294006
03016,-2.5423728813559325
03017,-0.4008016032064128
03018,-0.2910230579807477
03019,0.12391573729863693
03001,-0.9803921568627451
03020,-0.7462686567164178
03021,-0.17030939540164633
03022,-1.1976047904191618
03023,-0.40887850467289716
03024,-0.2590194264569843
03025,-0.15568240788790866
03026,-0.4574565416285453
03027,-1.0582010582010581
03028,-1.4746543778801844
03030,-1.2962962962962963
03031,-0.32758081567623104
03032,-0.9803921568627451
03033,-1.4925373134328357
03029,-0.6479481641468683
03034,-0.09250693802035154
03035,-1.4925373134328357
03036,0.0
03037,-1.0204081632653061
03038,-0.5025125628140703
03039,-4.166666666666666
03040,-2.925531914893617
03041,-0.5853746397694525
03042,-0.5681818181818182
03043,-0.49532195927352773
03044,0.301941049604601
03045,-1.179245283018868
03046,-0.37488284910965325
03049,0.4217432052483599
03048,-0.33346672002134187
03047,-0.4891139678829589
03050,-0.4901108832423789
03051,-0.7009345794392523
03052,-1.0075566750629723
03053,-0.1859427296392711
03054,-2.669902912621359
03075,0.8163265306122449
03055,-0.10121457489878542
03056,-0.12340237990304098
