CMUN,DEBT_MUNICIPALITY_PER_CAPITA_2021
04001,0.3577315329626688
04002,0.0
04003,0.592954242484571
04004,0.0
04005,9.771986970684039e-05
04006,1.4363441784737758
04007,0.0
04008,0.04768389396709323
04009,0.049387734375
04010,2.660544926035503
04011,0.4042294111291194
04012,0.2531547783251231
04013,0.38978209292477084
04014,0.0
04015,0.0
04016,0.5408823368107303
04017,0.08209455093689426
04018,0.0
04019,0.1507523245614035
04020,0.0
04021,0.0
04022,0.0
04023,0.19227067669172931
04024,0.0
04026,0.0
04027,0.1530627131782946
04028,0.15234112970711294
04029,0.24336504384566324
04030,0.016474402730375426
04031,0.934430877604931
04032,0.35760927447872215
04033,0.0
04034,0.0
04035,0.9390188000550433
04036,0.0
04037,0.5603767438692098
04038,0.18448023670082966
04041,0.16270609981515713
04043,0.0517882602118003
04044,0.7731893016759778
04045,0.0
04046,0.0
04047,0.0
04048,0.002958949704142012
04049,0.3396464924602355
04050,0.2842185792349727
04051,0.07973492813141685
04052,0.004955096143158831
04053,0.48308496621967456
04054,0.0
04055,0.0
04056,0.0
04057,0.14124293785310735
04058,0.0
04059,0.5644926689655172
04060,0.03289473684210526
04061,0.6621072809278351
04062,2.516447556328998
04063,0.07403883495145631
04064,0.07341979137299126
04065,0.0
04066,0.17121189281793683
04067,0.0
04068,0.49660942408376957
04069,0.11057342096825905
04070,0.7301697341888176
04071,0.23370058252427184
04072,0.0953668107588857
04073,0.16180927835051545
04074,0.0
04075,0.06534923501912453
04076,0.048340254521098455
04077,0.1800936274509804
04078,0.0
04079,0.1331005811172806
04080,0.0
04081,0.0
04082,0.17016442953020136
04083,0.4214837598425197
04084,0.0
04085,0.0
04086,0.5245419991806637
04087,0.0
04088,0.01244346243826358
04089,0.11601817907444668
04090,0.0781630523255814
04091,0.0
04092,0.0
04093,2.3383180711855536
04094,0.0
04095,0.2030841463414634
04096,0.0
04097,0.0
04098,0.0
04099,0.5810917382476963
04100,0.16589930892683763
04101,0.0
04102,0.21067839029088808
04103,0.09429802014588398
04901,0.0
04902,1.7775834972460256
04903,0.1629859951485749
04904,0.0
11001,1.090665511462146
11002,0.0
11003,0.0
11004,1.7699068363284898
11005,0.5845415391621129
11006,2.3232434053586863
11007,3.8985561558219177
11008,7.386148627929481
11009,0.0
11010,0.3388429942543745
11011,0.23310937187073283
11012,1.0293860255045952
11013,0.013197265625000001
11014,0.5518079520574618
11015,0.7125196361368247
11016,3.5185679261935476
11017,1.8074835987509756
11018,0.0
11019,0.0
