CMUN,POPULATION_2020,POPULATION_DENSITY_KM2_2020,AGE_AVERAGE_2020,AGE_PERC_POP_BELOW_18_2020,AGE_PERC_POP_ABOVE_65_2020,HOUSING_AVERAGE_HOUSEHOLD_SIZE_2020,HOUSING_PERC_SINGLEPERSON_HOUSEHOLD_2020,NATIONALITY_PERC_SPANISH_2020,NATIONALITY_PERC_NONSPANISH_2020
02010,2270,12.751801692307897,45.2,16.2,23.4,2.53,30,91,9
02011,584,3.990815194019904,58.2,4.1,44.5,1.78,52.3,97.8,2.200000000000003
02012,2336,35.925594354750544,42.4,16.2,18.3,2.5,29.2,91.8,8.200000000000003
02013,130,1.7167025501897117,55.4,8.5,36.9,1.81,55.6,90.7,9.299999999999997
02014,412,2.976400835720619,49.1,12.6,30.6,2.15,37,93,7
02015,1809,9.552312442125979,43.4,15.9,18.5,2.54,31.2,91.7,8.299999999999997
02016,596,6.580436778225682,49.2,10.4,26.2,2.06,45,97.8,2.200000000000003
02017,768,4.634225893240604,58.5,7.2,46,1.87,47.7,99.5,0.5
02018,1029,8.213143714426238,46.8,12.7,23,2.46,29.9,85.3,14.700000000000003
02019,2691,5.3620786331633,47.6,11.6,24.5,2.42,31.4,96.9,3.0999999999999943
02020,496,6.59551131094255,52.7,11.5,37.9,2.08,43.9,92.1,7.900000000000006
02021,1359,15.304678191327742,44.2,16,22.1,2.28,39.4,84.1,15.900000000000006
02022,329,2.9347452674916106,56.7,3,38.3,2.04,43.5,97.9,2.0999999999999943
02023,565,4.515101211678104,54.9,6,36.1,1.98,44.8,94.7,5.299999999999997
02024,4516,43.83451586174353,43.6,16.7,19.9,2.52,28.4,86.9,13.099999999999994
02025,9959,70.64227855105015,42.5,18.6,18.6,2.51,28.3,89.8,10.200000000000003
02026,1192,18.884531533803077,44.1,17.1,21.5,2.73,24.9,83.9,16.099999999999994
02027,305,3.225042542439782,50.3,10.8,30.2,2.24,39.7,97.1,2.9000000000000057
02028,132,9.137787291930188,55.4,3.8,31.1,1.86,46.5,97.8,2.200000000000003
02029,4258,6.2808082551994,42,17.6,15.6,2.41,33.4,95.6,4.400000000000006
02030,3542,14.813775520860258,45.5,15.4,22.7,2.34,33.8,97.5,2.5
02031,629,4.99360810569348,49.4,12.4,30.7,2.11,44.3,96.5,3.5
02032,277,11.512821833055787,55,6.9,36.1,1.85,55.3,95,5
02033,2446,18.373701728463914,44.2,16.1,21.6,2.41,31,88.5,11.5
02034,1811,16.75968752452101,45.6,15.4,23.5,2.47,30.9,83.8,16.200000000000003
02035,2520,18.4148301066672,41.3,19.1,16.7,2.57,27,92.3,7.700000000000003
02036,99,3.52127698999985,58.2,5.1,42.4,2.11,29.8,99,1
02037,30179,38.78969626509816,41.8,17.8,17,2.63,28.3,91,9
02038,315,4.976434879133895,48.1,12.1,23.8,2.28,31.9,84.2,15.799999999999997
02039,1144,5.579491038029434,48.3,13.1,28,2.49,27.8,95.1,4.900000000000006
02040,592,5.177457367273484,49.8,9.6,29.2,2.64,27.7,95.7,4.299999999999997
02041,364,5.369127255431438,54.7,9.1,36.8,1.86,52.6,95.6,4.400000000000006
02042,910,3.4469063029127898,51,7.6,29.1,2.11,40.8,96.8,3.200000000000003
02043,1323,3.6761805270618533,50,9.5,27.4,2.28,35.8,94.6,5.400000000000006
02044,1124,3.595033859876762,51.9,8.7,31.3,2.13,39.8,98.8,1.2000000000000028
02045,4658,63.64595720044799,44.2,17.4,21.9,2.56,26.7,91.9,8.099999999999994
02046,1386,12.84333963210802,44.8,16,22.7,2.41,29.9,94.8,5.200000000000003
02047,105,1.0127684284558178,61.6,0,46.7,1.72,49.2,100,0
02048,1485,21.266045307663106,49,12.7,28.6,2.35,36.2,89.5,10.5
02049,845,5.894831395869343,54.7,7.9,38.9,1.85,49.7,98,2
02050,86,3.494737940247129,55.6,8.1,33.7,1.91,53.3,100,0
02051,1991,11.243732502936883,45.5,14.4,23.2,2.45,31.6,91.9,8.099999999999994
02052,607,25.53257101882077,45.2,17,23.6,2.26,37.7,92.6,7.400000000000006
02053,3432,14.918170589835919,46.2,14.5,23.5,2.51,30.7,97.3,2.700000000000003
02054,537,12.735090283313726,46.9,12.5,27.2,2.45,35.2,79.7,20.299999999999997
02055,1199,2.7489408345436273,49.8,10.8,27.9,2.16,42.1,98.6,1.4000000000000057
02056,1965,36.17978897032166,47.3,13.9,27.8,2.39,30.1,95.1,4.900000000000006
02057,2242,9.218246781787427,47.6,12.9,25.3,2.29,36.5,97.6,2.4000000000000057
02058,326,2.907059730134075,53.6,8,34.4,1.76,54.6,96.9,3.0999999999999943
02059,322,1.7044836247237236,54.1,4.7,34.2,1.91,45.6,98.1,1.9000000000000057
02060,1398,8.822204397168191,50.8,7.6,27.9,1.7,61.7,98.9,1.0999999999999943
02061,670,8.997619300650205,52.5,9.6,34.8,2.04,45.3,94.1,5.900000000000006
02062,404,8.188550462092577,53,7.7,31.7,1.99,43.8,98.5,1.5
02063,1585,11.639661941956513,49.3,11.6,29.8,2.23,35.4,95.4,4.599999999999994
02064,392,4.85037252292957,54,5.6,35.5,2.12,41.1,97,3
02065,465,3.4774087234509214,51.6,8,28.4,2.03,45,99.4,0.5999999999999943
02066,225,7.582102330849427,55.9,4.4,42.2,2.21,37.3,96.4,3.5999999999999943
02067,1325,16.38461753241327,47.1,13,23.9,2.25,35.4,97.4,2.5999999999999943
02068,390,3.2538370887949704,47.3,11.3,23.3,2.19,41.6,96.4,3.5999999999999943
02069,15403,38.795656542142666,42.2,18.5,18,2.65,25,88.1,11.900000000000006
02070,458,9.263536955940737,50.3,13.3,31.4,2.14,41.6,90.2,9.799999999999997
02071,1139,13.73024957430943,48.1,10.1,24.1,2.35,34.5,95.7,4.299999999999997
02072,1709,12.302969128623914,47.9,12.6,27.2,2.22,38.8,96.4,3.5999999999999943
02073,6169,29.07035346491495,44.2,16.7,21,2.37,33.8,93.3,6.700000000000003
02074,7654,23.576892107429803,44.1,16.7,21.1,2.51,31.4,88.1,11.900000000000006
02075,1952,27.685244789507347,47,14.3,26,2.45,30.2,96.8,3.200000000000003
02076,327,2.558111183304873,52.7,8.9,31.8,2.02,45.1,99.4,0.5999999999999943
02077,62,1.0757891843928362,47.3,3.2,17.7,2,48.4,85.5,14.5
02078,1086,23.314244362525752,48,12.4,26.7,2.35,35.7,93.5,6.5
02079,3996,31.208128020914994,44.1,16.3,20.6,2.61,24,80.9,19.099999999999994
02080,555,6.355433410526112,51.5,8.3,29.9,2.25,39.7,93.7,6.299999999999997
02081,24840,28.865575222588003,41.7,18.7,17.4,2.74,25.2,88.8,11.200000000000003
02082,108,5.796342150012001,52.1,9.3,30.6,1.8,51.7,98.2,1.7999999999999972
02083,216,6.2130923693014815,55.7,6.5,37.5,2.06,44.8,97.7,2.299999999999997
02084,334,4.828269045624882,52.3,8.7,29.3,1.83,51.4,99.4,0.5999999999999943
02085,331,5.0735064574545845,53,7.6,32,2.04,42.6,97.6,2.4000000000000057
02086,2543,4.972247731359778,53.9,8.9,36.8,2.09,41.5,98.7,1.2999999999999972
02901,2764,23.702541349064987,43.2,18.5,21.1,2.68,26.2,96.3,3.700000000000003
03001,612,41.800408353421986,53.2,9,34,2.15,34.9,58.6,41.4
