CMUN,TOURISM_HOUSES_PER_CAPITA_2022
04013,0.0036399568448329755
04068,0.0
04071,0.0024271844660194173
04073,0.0
04076,0.0020093770931011385
04079,0.00858025514969261
04080,0.0
04085,0.0
04088,0.0025994281258123215
04002,0.0
04005,0.0016286644951140066
04007,0.011750881316098707
04009,0.0
04012,0.0049261083743842365
04014,0.0
04017,0.003661425802283007
04018,0.0
04023,0.007518796992481203
04026,0.0
04028,0.0
04030,0.0
04032,0.027923423972686257
04034,0.0
04035,0.009013348011559104
04043,0.0045385779122541605
04046,0.0029013539651837525
04048,0.0033284023668639054
04051,0.0
04052,0.0002222963209958875
04056,0.05128205128205128
04057,0.0018832391713747645
04060,0.0
04066,0.027677056651475334
04089,0.002012072434607646
04090,0.005813953488372093
04091,0.0027247956403269754
04092,0.0008658008658008658
04093,0.013609002878827532
04094,0.0
04095,0.0
04096,0.0
04097,0.0
04098,0.006153846153846154
04099,0.0018741215055442762
04100,0.05397224284653607
04101,0.0001725625539257981
04102,0.001849354652282797
04103,0.0013893713094824591
04901,0.007104795737122558
04902,0.0016632317315688613
04903,0.0
04001,0.0
04003,0.00127413896078041
04004,0.0013831258644536654
04006,0.0014085674040931312
04008,0.0
04010,0.0
04011,0.0016207455429497568
04015,0.0
04016,0.0035767511177347243
04019,0.0043859649122807015
04020,0.0
04021,0.0
04022,0.02596053997923157
04024,0.00044169611307420494
04027,0.0
04029,0.0011957908163265306
04031,0.004109186968007044
04033,0.0
04036,0.0
04037,0.0013623978201634877
04038,0.0009760858955588092
04041,0.012939001848428836
04044,0.0004655493482309125
04045,0.0015105740181268882
04047,0.00033266799733865603
04049,0.011774426771328238
04050,0.0
04053,0.0010748285392568329
04054,0.0069605568445475635
04055,0.0
04058,0.0
04059,0.011034482758620689
04061,0.002577319587628866
04062,0.0
04063,0.0
04064,0.09980265012686777
04065,0.0
04067,0.0017825311942959
04069,0.0003206155819172812
04070,0.0068744271310724105
04072,0.002881844380403458
04074,0.0009654839488293508
04075,0.02475563110922227
04077,0.0
04078,0.0
04081,0.0020833333333333333
04082,0.010067114093959731
04083,0.002952755905511811
04084,0.0
04086,0.005325686194182712
04087,0.0
11001,0.0028896166441918707
11004,0.0009255770522418623
11006,0.00611661458679609
11009,0.03935860058309038
11011,0.03641329085116067
11013,0.0022786458333333335
11015,0.017616060810968358
11020,0.0035042977236233114
11022,0.0006493403652143616
11025,0.00018258170531312764
11027,0.009874499756255173
11032,0.008703106384215268
11034,0.025755879059350503
11035,0.10728182323513062
11036,0.0025
11038,0.0020804013950927003
11039,0.06379420197515132
11040,0.01282051282051282
11041,0.0010687273923051627
11042,0.020497803806734993
11901,0.004909524477486323
11902,0.000225377507324769
11002,0.00039880358923230307
11003,0.0082930200414651
11005,0.008561020036429872
11007,0.03600396539293439
11008,0.0004628266083224639
11010,0.00026116479498563595
11012,0.01313046919660525
11014,0.09822162606550994
11016,0.013212903225806451
11017,0.0
11018,0.0320139697322468
11019,0.03599605522682446
11021,0.003605769230769231
11023,0.0057367925336073294
11024,0.00525
11026,0.004984867366921844
11028,0.0018570773943033549
11029,0.0012949640287769784
11030,0.01421076404572461
11031,0.0010702100154703627
11033,0.01476640799271105
11037,0.0
14002,0.000375629178874615
14005,0.0035048191262986605
14008,0.0
14011,0.0
14014,0.0
14017,0.0005645332016089196
14019,0.000390015600624025
14022,0.0010853049706967658
14024,0.001327433628318584
14028,0.0029498525073746312
14030,0.00040514534589283904
14032,0.0
14035,0.0001522533495736906
14038,0.0006606890042472864
14040,0.00022153300841825432
14043,0.0005427702996092054
14045,0.0008051529790660225
14047,0.0004952947003467063
14049,0.00024154589371980676
14051,0.0014124293785310734
14052,0.0
14056,0.0006802721088435374
14058,0.0018380475850097008
14059,0.001201923076923077
14063,0.0
14065,0.0017064846416382253
14067,0.0008158270446665307
14070,0.0014388489208633094
14072,0.0009242144177449168
14073,0.0018808777429467085
14001,0.00024189646831156264
14003,0.004996431120628123
14004,0.0021231422505307855
14006,0.0013271400132714001
14007,0.001240025878800949
14009,0.00034831069313827936
14010,0.0008069396812588259
14012,0.00027586206896551725
14013,0.00024968789013732833
14015,0.0050782903089293275
14016,0.006793478260869565
14018,0.00022825838849577722
14020,0.0
14021,0.004450197980002595
14023,0.0
14025,0.0
14026,0.002174858634188778
14027,0.00010340192327577293
14029,0.0013428827215756492
14031,0.0
14033,0.001913265306122449
14034,0.003003003003003003
14036,0.004458314757021846
14037,0.005631733594515181
14039,0.0030508474576271187
14041,0.0039042165538781884
14042,0.0008481385590572271
14044,0.00051440329218107
14046,0.00018719580681392738
14048,0.0
14050,0.0
14053,0.0008248556502612042
14054,0.00023892008123282762
14055,0.0021160686146503983
14057,0.00026727248429774154
14060,0.0006516072980017377
14061,0.0014005602240896359
14062,0.0010121457489878543
14064,0.0
14066,0.0
14068,0.006666666666666667
14069,0.00035339851572623396
14071,0.0010384215991692627
14074,0.0
14075,0.02047244094488189
18087,0.009968885257869944
18126,0.0
18132,0.004443210219383505
18134,0.059098744151686776
18136,0.0
18138,0.000643707756678468
18145,0.0011684651866107636
18147,0.009270596466678327
18150,0.003767983557889929
18151,0.028391167192429023
18153,0.0010429341213280027
18157,0.006666666666666667
18161,0.003816793893129771
18163,0.010256410256410256
18164,0.0031446540880503146
18171,0.001516300227445034
18174,0.001838235294117647
18177,0.01904761904761905
18179,0.003169572107765452
18045,0.00612088752869166
18047,0.004405286343612335
18050,0.0014829461196243204
18054,0.001004016064257028
18057,0.000784313725490196
18062,0.0008250825082508251
18066,0.0
18069,0.0
18071,0.0022497187851518562
18074,0.003424657534246575
18078,0.0033112582781456954
18079,0.00046072333563695
18086,0.021108179419525065
18088,0.0
18094,0.014172139647424819
18097,0.0
18099,0.004228329809725159
18101,0.0011547344110854503
18107,0.0009652509652509653
18108,0.0
18114,0.004552352048558422
18119,0.011441647597254004
18121,0.05343511450381679
18124,0.010570824524312896
18180,0.029085872576177285
18181,0.0
18182,0.0019928258270227183
18183,0.0028735632183908046
18184,0.013392857142857142
18185,0.0
18187,0.0017761989342806395
18188,0.0
18189,0.00499001996007984
18192,0.001885014137606032
18193,0.0020227166640734403
18194,0.001187178472497032
18901,0.018156424581005588
18902,0.017758046614872364
18903,0.009865470852017937
18904,0.013527575442247659
18905,0.0006805807622504537
18906,0.0073937153419593345
18907,0.0009438414346389807
18908,0.008324661810613945
18909,0.0
18910,0.02027027027027027
18911,0.000774593338497289
18912,0.003486345148169669
18913,0.0
18001,0.0
18002,0.0
18003,0.001099994761929705
18004,0.0013477088948787063
18005,0.0
18006,0.0016703786191536749
18007,0.01394169835234474
18010,0.0
18011,0.0003615982643283312
18012,0.0037328909166321027
18013,0.004670379019220406
18014,0.0016600954554886907
18015,0.0
18016,0.006644518272425249
18017,0.04502755997205186
18018,0.0088339222614841
18020,0.011182108626198083
18021,0.001113953296476607
18022,0.0004720197199349662
18023,0.0009045680687471732
18024,0.0
18025,0.0
18027,0.0030349013657056147
18028,0.0009319664492078285
18029,0.004409171075837742
18030,0.008403361344537815
18032,0.06748466257668712
18033,0.018726591760299626
18034,0.0017889087656529517
18035,0.00205620287868403
18036,0.0015561174868702586
18037,0.0
18038,0.0
18039,0.0007389162561576355
18040,0.0
18042,0.06412478336221837
18043,0.06
18044,0.004329004329004329
18046,0.01188707280832095
18048,0.0
18051,0.0015372790161414297
18053,0.004289544235924933
18056,0.002214022140221402
18059,0.0005335230304108127
18061,0.0008012820512820513
18063,0.0
18064,0.0
18067,0.0012804097311139564
18070,0.01662049861495845
18072,0.0
18076,0.0010427528675703858
18083,0.0
18084,0.001835781041388518
18085,0.00823045267489712
18089,0.00232609658839167
18095,0.002271006813020439
18096,0.0
18098,0.0005624296962879641
18100,0.0
18103,0.015306122448979591
18105,0.0007852375343541421
18109,0.009564293304994687
18111,0.0005142710208279763
18115,0.0005629045876723895
18116,0.009489254814401339
18117,0.0018018018018018018
18120,0.005865102639296188
18122,0.0007395720343161423
18123,0.0
18127,0.0005370088606462006
18128,0.0
18133,0.002540834845735027
18135,0.006389776357827476
18137,0.0026619343389529724
18140,0.0033607941815173557
18141,0.004347826086956522
18143,0.020850708924103418
18144,0.0073461891643709825
