CMUN,GENDER_PERC_POP_MALE_2020,GENDER_PERC_POP_FEMALE_2020
01051,50.278773397052966,49.721226602947034
01001,51.91518467852257,48.08481532147743
01002,49.39290917921321,50.607090820786794
01049,60.3896103896104,39.61038961038961
01003,51.71703296703297,48.282967032967036
01006,50.649350649350644,49.35064935064935
01037,55.56946182728411,44.43053817271589
01008,54.19545903257651,45.8045409674235
01004,49.1140642303433,50.8859357696567
01009,50.765462339252906,49.234537660747094
01010,50.91525423728813,49.08474576271186
01011,54.89510489510489,45.10489510489511
01013,55.106621773288445,44.89337822671156
01014,51.94805194805194,48.05194805194805
01016,58.44155844155844,41.55844155844156
01017,53.51851851851852,46.48148148148148
01021,52.29067930489732,47.70932069510268
01022,50.25075225677031,49.74924774322969
01023,48.61538461538461,51.38461538461539
01047,53.786270346779894,46.2137296532201
01046,57.41857659831122,42.58142340168878
01056,55.309734513274336,44.690265486725664
01901,52.72255834053586,47.27744165946413
01027,54.90566037735849,45.09433962264151
01019,52.0,48.0
01020,57.974683544303794,42.025316455696206
01028,51.53695225637671,48.463047743623285
01030,57.647058823529406,42.35294117647059
01031,51.59972770592239,48.40027229407761
01032,53.102453102453104,46.897546897546896
01902,56.05726872246696,43.942731277533035
01033,50.869061413673236,49.130938586326764
01036,48.63093585115246,51.36906414884754
01058,52.93527345709985,47.06472654290015
01034,51.141552511415526,48.858447488584474
01039,51.41509433962265,48.58490566037736
01041,56.12244897959183,43.87755102040816
01042,52.38493723849372,47.61506276150628
01043,50.7959479015919,49.2040520984081
01044,59.333333333333336,40.666666666666664
01052,47.72727272727273,52.27272727272727
01053,54.30555555555555,45.69444444444444
01054,51.87014820042343,48.12985179957657
01055,54.15472779369628,45.845272206303726
01057,51.56794425087108,48.43205574912892
01059,48.67149233256771,51.32850766743229
01060,50.75187969924813,49.24812030075188
01061,54.6875,45.3125
01062,54.18604651162791,45.81395348837209
01018,53.991130820399114,46.008869179600886
01063,52.26390685640362,47.73609314359638
02001,49.069148936170215,50.930851063829785
02002,55.294117647058826,44.70588235294118
02003,48.86809485781743,51.13190514218257
02004,51.840942562592055,48.15905743740795
02005,52.40875912408759,47.59124087591241
02006,54.34439178515008,45.65560821484992
02007,53.96551724137931,46.03448275862069
02008,51.97568389057751,48.02431610942249
02009,49.66977068548222,50.33022931451778
02010,52.183406113537124,47.81659388646288
02011,53.675213675213676,46.324786324786324
02012,51.0828025477707,48.9171974522293
02014,52.54237288135594,47.45762711864407
02013,56.92307692307692,43.07692307692308
02015,51.4161220043573,48.5838779956427
02016,53.85906040268457,46.14093959731543
02017,53.255208333333336,46.74479166666667
02018,52.19512195121951,47.80487804878049
02019,50.570482149429516,49.429517850570484
02020,54.800000000000004,45.2
02021,53.416605437178546,46.583394562821454
02022,54.74006116207951,45.25993883792049
02023,53.09734513274337,46.902654867256636
02024,50.13245033112583,49.867549668874176
02025,50.924637104792204,49.075362895207796
02026,50.25041736227045,49.74958263772955
02029,52.032332563510394,47.967667436489606
02027,53.92156862745098,46.07843137254902
02028,53.03030303030303,46.96969696969697
02030,49.45085891298226,50.549141087017745
02031,48.330683624801274,51.669316375198726
02032,55.98591549295775,44.014084507042256
02033,52.310838445807775,47.689161554192225
02034,51.31147540983606,48.68852459016394
02035,51.79204411185506,48.20795588814494
02036,52.52525252525253,47.474747474747474
02037,50.27223230490018,49.727767695099814
02038,51.57232704402516,48.42767295597484
02039,52.40594925634296,47.59405074365704
02040,53.973509933774835,46.026490066225165
02041,53.97260273972603,46.02739726027397
02042,48.8962472406181,51.10375275938189
02043,51.65912518853696,48.340874811463046
02044,52.04626334519573,47.95373665480427
02045,51.12878950763277,48.87121049236723
02046,51.40388768898488,48.59611231101512
02047,58.0952380952381,41.904761904761905
02048,51.76314038589488,48.23685961410512
02049,52.07591933570581,47.92408066429419
02050,55.81395348837209,44.18604651162791
02051,51.76643768400393,48.233562315996075
02052,54.91803278688525,45.08196721311475
02053,51.36786961583236,48.63213038416764
02054,52.336448598130836,47.66355140186916
02055,54.96246872393661,45.03753127606338
02056,50.38167938931297,49.61832061068702
02057,50.42391789379741,49.57608210620259
02058,54.93827160493827,45.06172839506173
02060,58.56940509915014,41.43059490084986
02059,54.96894409937888,45.03105590062112
02061,52.6706231454006,47.32937685459941
02062,54.95049504950495,45.04950495049505
02901,50.78571428571429,49.214285714285715
02063,52.053063802905875,47.946936197094125
02064,52.17391304347826,47.82608695652174
02065,53.76344086021505,46.236559139784944
02066,56.888888888888886,43.111111111111114
02067,51.43504531722054,48.56495468277945
02068,54.1025641025641,45.8974358974359
02069,50.68652098240186,49.31347901759814
02070,52.915766738660906,47.084233261339094
02071,51.99652777777778,48.00347222222222
02072,51.66858457997699,48.33141542002301
02073,51.3365539452496,48.6634460547504
02074,51.688311688311686,48.311688311688314
02075,51.380368098159515,48.61963190184049
02076,51.98776758409785,48.01223241590214
02077,57.377049180327866,42.62295081967213
02078,53.4435261707989,46.5564738292011
02079,51.129312484487464,48.870687515512536
02080,51.44404332129964,48.55595667870036
02081,49.57462954826856,50.42537045173143
02082,58.333333333333336,41.66666666666667
02083,60.64814814814815,39.351851851851855
02084,55.08982035928144,44.91017964071856
02085,52.40963855421686,47.59036144578313
02086,52.012383900928796,47.987616099071204
03002,50.458341821144835,49.541658178855165
03003,54.81099656357389,45.18900343642612
03004,52.15311004784689,47.84688995215311
03005,50.53526448362721,49.4647355163728
03006,49.81074943224829,50.18925056775171
03007,48.57142857142857,51.42857142857142
03008,54.3010752688172,45.69892473118279
