CMUN,INCOME_PERC_UNEMPLOYMENT_BENEFITS_OF_AVERAGE_SALARY_2020
01002,
01003,
01004,
01006,
01008,
01009,
01010,
01011,
01013,
01014,
01016,
01017,
01018,
01019,
01020,
01021,
01022,
01023,
01027,
01028,
01030,
01031,
01032,
01033,
01034,
01036,
01037,
01039,
01041,
01042,
01043,
01044,
01046,
01047,
01049,
01051,
01052,
01053,
01054,
01055,
01056,
01057,
01058,
01059,
01060,
01061,
01062,
01063,
01901,
01902,
02001,5.567010309278351
02002,9.686025035912168
02003,6.361430530646693
02004,7.695456406058125
02005,14.696685428392744
02006,11.850086655112651
02007,12.55859375
02008,11.795655125594026
02009,12.912541254125411
02010,14.94487545937117
02011,9.569611998695795
02012,10.009548058561425
02013,9.003738013976923
02014,5.523780854906683
02015,11.56440732412464
02016,20.95971027614305
02017,10.432033719704952
02018,15.407703851925964
02019,9.37005381449826
02020,11.502702702702702
02021,11.0
02022,11.773151471643933
02023,11.704355108877722
02024,10.356347438752785
02025,8.87728459530026
02026,10.087474409082448
02027,9.501738122827346
02028,19.09007773205304
02029,8.341962950178345
02030,11.949685534591195
02031,13.796152995799249
02032,7.061231451475354
02033,11.94449653103319
02034,8.403628839726245
02035,10.846560846560847
02036,
02037,11.067771818625062
02038,6.295774647887324
02039,7.093040510461493
02040,7.093908629441624
02041,12.068181818181818
02042,10.748947079289508
02043,8.265342319971621
02044,13.87900355871886
02045,7.8214578214578205
02046,8.485124468731026
02047,6.542934335721837
02048,9.728466103218846
02049,12.2445117335352
02050,
02051,12.65004616805171
02052,9.136745607333843
02053,10.720501218238775
02054,6.376857919130574
02055,15.61081081081081
02056,10.833517576829538
02057,11.265625
02058,12.62962962962963
02059,5.794296038198477
02060,8.028455284552846
02061,7.945254177035194
02062,14.837741511911462
02063,12.94162826420891
02064,9.53256704980843
02065,7.910391089735476
02066,11.269397099974562
02067,16.245081506464306
02068,10.13750731421884
02069,8.57022825934743
02070,15.689731159100925
02071,12.183406113537117
02072,14.367269267364415
02073,9.350344132952829
02074,9.024473147518695
02075,9.50661853188929
02076,8.404486857525532
02077,
02078,8.878591288229842
02079,8.868144690781797
02080,14.674191893278604
02081,8.326359832635983
02082,32.10638803134647
02083,10.039177277179236
02084,19.062133645955452
02085,7.140766754462979
02086,17.659831121833534
02901,8.304288528564934
03001,8.489483747609942
03002,10.010898334111786
03003,9.047940580688724
03004,7.846806387225549
03005,10.720825703346096
03006,12.48730964467005
03007,10.089988751406075
03008,7.423429659110573
03009,8.889173935351462
03010,9.487666034155598
03011,21.22872236352964
03012,13.75821952453212
03013,12.039937353171496
03014,8.701640165268563
03015,11.283224784368949
03016,6.687422166874221
03017,9.643213572854291
03018,15.986336464560205
03019,10.682718683328254
03020,9.352009054895301
03021,6.80402491614758
03022,5.79142403388036
03023,7.571138211382114
03024,10.552521683263732
03025,8.745570517363573
03026,11.638316920322293
03027,11.134056100499054
03028,9.248747913188646
03029,9.180961584923894
03030,10.203700242945244
03031,30.118577075098813
03032,6.674305356631338
03033,20.604339890488745
03034,11.701189951520494
03035,9.42203491872366
03036,6.388767958206357
03037,17.503894080996886
03038,9.875
03039,
03040,13.779449613937834
03041,11.70858629661752
03042,12.992933667654432
03043,8.037989344452166
03044,11.059213500075336
03045,14.457305088447258
03046,10.604113110539846
03047,20.350594398549266
03048,15.320388349514563
03049,9.986772486772487
03050,8.248776411603199
03051,9.259788511003144
03052,8.018745118458735
03053,9.177134068187645
03054,11.047004921092823
03055,12.33512911016162
03056,9.54437787376341
03057,11.376843987483236
03058,10.954483695652174
03059,13.36823734729494
03060,18.099547511312217
03061,10.64309239036228
03062,11.872384937238493
03063,11.60988448603597
03064,12.114989733059549
03065,12.023988005997001
03066,15.086206896551724
03067,11.503901631591393
03068,
03069,18.11916066778986
03070,13.124611237818783
03071,11.329460013670541
03072,11.078669910786699
03073,8.148755810773858
03074,10.97927807486631
03075,21.168785310734464
03076,10.986405311413215
03077,10.397867104183756
03078,16.825061598028864
03079,8.934583934583934
03080,9.56930542917804
03081,13.94449499545041
03082,11.898783079003284
03083,9.778798501148314
03084,7.578896064335323
03085,14.15366839976892
03086,9.483322432962721
03088,8.787878787878787
03089,14.937686501667544
03090,8.137331401181585
03091,8.541793776693106
03092,9.823235730670625
03093,9.341942574529469
03094,18.421865348980855
03095,12.55404323458767
03096,10.150089035868735
03097,11.05121293800539
03098,12.18565885903147
03099,10.400811770674784
03100,10.45141205247943
03101,9.819083746717245
03102,9.017393957888313
03103,7.397491897985065
03104,14.52513966480447
03105,12.409024745269287
03106,7.160804020100503
03107,18.252176717188004
03109,10.220408163265306
03110,8.048568950563746
03111,12.235019195459856
03112,10.693792383933229
03113,13.90420899854862
03114,12.084656084656084
03115,8.086866597724923
03116,12.255373756817454
03117,10.831889081455806
03118,14.60787613598115
03119,7.82730404823428
03120,13.993256262042388
03121,12.071230477302583
03122,8.902113189215449
03123,11.253687315634219
03124,8.310466483731869
03125,15.829694323144105
03127,16.044997039668445
03128,15.359778597785978
03129,6.601017205930095
03130,
03131,8.55721393034826
03132,9.995421944147719
03133,16.955250730829775
03134,12.63351749539595
03135,9.547445255474454
03136,9.24591316575848
03137,12.325809617271835
03138,11.878139685626318
03139,16.350321327155882
03140,10.95422116527943
03901,11.792282726289217
03902,10.300925925925926
03903,12.555228276877761
03904,11.813471502590673
04001,12.847347527968243
04002,15.801217038539553
04003,12.310217480508822
04004,9.329829172141919
04005,12.716003005259205
04006,9.631679059311777
04007,25.599596061600604
04008,9.219160104986877
04009,8.30188679245283
04010,15.196539401918374
04011,12.041116005873716
04012,9.386045293886633
04013,7.5217932752179335
04014,13.339907029159036
04015,14.256226778588138
04016,8.992643747185108
04017,12.866817155756207
04018,9.427422708997643
04019,12.506451057973509
04020,15.488922841864019
04021,6.956021845357861
04022,21.29783693843594
04023,9.755188268920094
04024,9.512128645407468
04026,
04027,15.909090909090908
04028,18.401449567143143
04029,11.846213895394223
04030,19.41230911614993
04031,9.07293931607037
04032,9.501385041551247
04033,11.037527593818984
04034,12.160883280757098
04035,10.687900180594319
04036,13.392642462130318
04037,10.009033423667569
04038,10.478048780487805
04041,10.278818143986683
04043,11.250619527507022
04044,9.633911368015415
04045,17.100909842845326
04046,11.924075275794939
04047,11.736770691994572
04048,13.355182302335109
04049,14.897547866980181
04050,12.388629613915995
04051,10.458430458430458
04052,8.392698130008904
04053,7.8627102420347335
04054,14.46039340776183
04055,14.392605633802816
04056,10.521262002743484
04057,15.318035426731077
04058,12.816560229024443
04059,13.615502294747579
04060,18.23355817875211
04061,12.683438155136267
04062,7.124810510358767
04063,11.647449677545437
04064,15.56151782292066
04065,12.71981242672919
04066,13.345983554712207
04067,15.294569180579543
04068,9.873595505617978
04069,9.050804041554006
04070,11.081081081081082
04071,12.608394033992369
04072,10.235732009925558
04073,16.56036947437871
04074,12.459016393442624
04075,8.284101352238414
04076,8.869368092944176
04077,12.725306416726747
04078,11.937445699391832
04079,10.398684751335798
04080,11.511541325390915
04081,13.594040968342643
04082,12.064931266452179
04083,7.851351351351352
04084,10.76923076923077
04085,11.576011157601116
04086,12.71508379888268
04087,14.545719277810134
04088,16.724137931034484
04089,14.402304368698992
04090,11.396319777331065
04091,14.192020404445255
04092,7.94425087108014
04093,19.87163029525032
04094,15.25206232813932
04095,19.03523291558288
04096,11.909323116219667
04097,17.63797761482053
04098,13.285883748517199
04099,11.11111111111111
04100,11.743981209630066
04101,10.569600974718245
04102,13.489452293400426
04103,11.413660086226459
04901,18.278008298755186
04902,11.581920903954803
04903,15.046409379579872
04904,12.143867447969287
05001,7.310228707731163
05002,11.079410366143605
05005,9.540061758491793
05007,9.103690685413007
05008,13.514689880304678
05010,10.198357042676818
05012,5.522233712512927
05013,12.71098145446968
05014,10.722212736896022
05015,
05016,8.912346338856226
05017,
05018,
05019,6.142275148856157
05021,8.853789305897696
05022,10.280678851174935
05023,8.887096774193548
05024,11.854338842975206
05025,
05026,11.410871302957634
05027,6.146051327238683
05029,
05030,
05033,6.1216506943086255
05034,
05035,4.639758581667295
05036,8.859769215724624
05037,9.05300774270399
05038,12.18705715635333
05039,
05040,
05041,13.127486266338323
05042,9.219858156028367
05043,
05044,9.237618252643294
05045,
05046,
05047,13.66042345276873
05048,12.856584603360687
05049,6.50314465408805
05051,5.280615629560833
05052,
05053,
05054,14.255228339735382
05055,10.88199265006125
05056,
05057,10.631343540340616
05058,
05059,
05060,10.005685048322912
05061,8.340562647168175
05062,4.489861602832314
05063,
05064,5.644521959727287
05065,4.783783783783783
05066,11.227015558698728
05067,
05069,
05070,
05072,
05073,10.709269662921349
05074,7.51911639762107
05075,
05076,8.88804361607709
05077,10.21566401816118
05078,
05079,
05080,
05081,
05082,13.939261525016386
05083,5.018923811090999
05084,
05085,
05086,
05087,8.82213438735178
05088,
05089,10.79564212611423
05090,
05092,6.248779535247022
05093,12.653215161229491
05094,9.332409332409332
05095,13.411534701857283
05096,
05097,11.633663366336634
05099,10.164479763444835
05100,9.33774834437086
05101,10.89675359233635
05102,11.613261715132433
05103,
05104,
05105,15.311157090561833
05106,
05107,
05108,
05109,10.178453403833442
05110,14.973614775725594
05112,7.289130746097666
05113,
05114,11.369415183436251
05115,8.203228367292935
05116,
05117,11.484863046612205
05118,
05119,
05120,
05121,7.942754919499105
05122,17.700258397932817
