CMUN,AGRI_LIVESTOCKUNITS_DENSITY_KM2_2020,AGRI_CATTLEFARMS_DENSITY_KM2_2020
04034,0.0,0.0
04044,0.0,0.0
04056,0.0,0.0
04058,0.0,0.0
04061,0.0,0.0
04062,0.0,0.0
04069,0.0,0.0
04070,0.0,0.0
04072,0.0,0.0
04076,0.0,0.0
04083,0.0,0.0
04084,0.0,0.0
04085,0.0,0.0
04087,0.0,0.0
04089,0.0,0.0
04092,0.0,0.0
04096,0.0,0.0
04103,0.0,0.0
04016,0.0,0.0
04022,0.0,0.0
04035,0.0,0.0
04048,0.0,0.0
04049,0.0,0.0
04053,0.0,0.0
04064,0.0,0.0
04075,0.0,0.0
04093,0.0,0.0
04100,0.0,0.0
04001,0.0,0.0
04002,0.0,0.0
04005,0.0,0.0
04010,0.0,0.0
04015,0.0,0.0
04045,0.0,0.0
04050,0.0,0.0
04065,0.0,0.0
04080,0.0,0.0
04901,0.0,0.0
04009,0.0,0.0
04026,0.0,0.0
04027,0.0,0.0
04033,0.0,0.0
04059,0.0,0.0
04060,0.0,0.0
04068,0.0,0.0
04082,0.0,0.0
04086,0.0,0.0
04088,0.0,0.0
04090,0.0,0.0
04094,0.0,0.0
04095,0.0,0.0
04097,0.0,0.0
04007,0.0,0.0
04011,0.0,0.0
04012,0.0,0.0
04014,0.0,0.0
04020,0.0,0.0
04023,0.0,0.0
04028,0.0,0.0
04030,0.0,0.0
04046,0.0,0.0
04051,0.0,0.0
04054,0.0,0.0
04055,0.0,0.0
04057,0.0,0.0
04067,0.0,0.0
04071,0.0,0.0
04073,0.0,0.0
04077,0.0,0.0
04091,0.0,0.0
04003,0.0,0.0
04904,0.0,0.0
04029,0.0,0.0
04038,0.0,0.0
04902,0.0,0.0
04041,0.0,0.0
04043,0.0,0.0
04903,0.0,0.0
04079,0.0,0.0
04102,0.0,0.0
04013,1.8736631194052003,0.02027773938750217
04024,0.0,0.0
04032,0.0,0.0
04047,0.0,0.0
04052,0.0,0.0
04066,0.21128992993606108,0.006665297474323694
04074,1.360739522863866,0.06510715420401272
04078,0.0,0.0
04081,0.0,0.0
04101,0.0,0.0
11003,33.09370974512433,0.5632013230960573
11006,6.915311510477393,0.11000769819190587
11010,0.0,0.0
11017,0.0,0.0
11020,7.947850968570703,0.08073836458305511
11027,2.9343751808086975,0.06907367213544977
11902,13.08896161793517,0.16510690708564071
11037,7.209886827529416,0.09892043863721268
11041,1.5719168784957018,0.03302346383394332
11012,0.0,0.0
11015,9.612487986856104,0.11589456027556844
11016,0.0,0.0
11014,16.904984406942823,0.2742275267094476
11030,15.614615888729672,0.21359000379750293
11031,0.0,0.0
11032,8.973296150185638,0.08803678608985843
11002,0.0,0.0
11005,6.276538139563381,0.06710482686632267
11009,9.513192413862507,0.31677044514147895
11011,0.0,0.0
11018,0.0,0.0
11019,5.123106802199835,0.16326025500955496
11024,12.224473078002635,0.14449731770688692
11026,10.682441538773515,0.28799187664708115
11029,5.593220230608484,0.06259199004709583
11034,7.663800745856303,0.060833471549899217
11036,0.0,0.0
11038,11.851433767285583,0.40101528155165717
11040,8.1804562678768,0.21841431809899034
11042,8.177606232669318,0.15166695086724413
11001,20.90366001283093,0.2751414077432226
11007,25.273028442705417,0.25273028442705414
11901,15.315617611945243,0.18189569610386272
11023,18.05214780589733,0.2313826637704198
11025,12.143384026863455,0.6501514351086918
11028,7.944872989769479,0.12231506302807588
11039,27.32005509238202,0.40748045159194285
11004,9.773817242083755,0.20418838249478596
11008,15.494913411952897,0.22937989039685625
11013,5.939284542166097,0.022122300184993376
11021,19.20912519566083,0.29112340249499036
11022,0.0,0.0
11903,0.0,0.0
11033,7.83125483631071,0.1216588981241726
11035,27.862949960140988,0.2951936736434342
14003,28.006216453944564,0.22207723028360163
14006,72.55314926802401,0.4728914605183881
14008,22.427330531792048,0.1463227005160707
14009,8.226074841259015,0.08692066166284841
14011,2.9861861719919895,0.039111803169508706
14016,27.837497967498376,0.31187416323327827
14020,10.443789918348996,0.154990698763527
14023,97.65456863816989,0.7295705368728567
14028,12.420101454143227,0.3837312498705426
14029,2.2862303783791926,0.05926824919877916
14032,7.746899823748568,0.1248636858536495
14034,22.113830524915493,0.26752399317728265
14035,6.562681908574091,0.07538546790619828
14051,33.902206390283496,0.39521697795594607
14052,15.18258561631243,0.10806110758941231
14054,35.238593306414096,0.3794351026627641
14061,9.839807422159948,0.09066489223670413
14062,13.829865706697342,0.1273702864864371
14064,7.1305650195391275,0.06566653638346151
14069,31.082403979874286,0.531606126173877
14070,22.56384539017082,0.2257185475798817
14072,52.85009994874428,0.3314005326774998
14074,14.855985373158052,0.10633641872571443
14001,4.6533172044175375,0.10760497132517431
14026,3.306152919298076,0.057247418605382946
14036,1.3255670782172864,0.01871803333307905
14043,2.1716469502934665,0.025655433767348194
14047,7.367086836512801,0.07463175217437305
14068,0.0,0.0
14071,0.0,0.0
14073,1.7731963324390403,0.027766263938457627
14005,7.8218934703701555,0.13343980849912
14012,0.0,0.0
14014,0.0,0.0
14018,0.0,0.0
14019,0.0,0.0
14021,2.6421433641352245,0.029519372066613318
14025,0.0,0.0
14027,0.0,0.0
14902,0.0,0.0
14040,0.0,0.0
14049,2.490985159907494,0.03499276764871053
14050,0.0,0.0
14053,10.030577118286942,0.11866070932535454
14057,0.0,0.0
14060,0.0,0.0
14066,0.0,0.0
14067,1.4728713009734153,0.05149899653753201
14017,11.006124853904964,0.16413860628744353
14901,0.0,0.0
14030,11.73425430715921,0.13776192116414412
14033,0.0,0.0
14059,0.0,0.0
14065,0.0,0.0
14002,0.0,0.0
14007,0.0,0.0
14010,0.0,0.0
14013,0.1882340805744103,0.021836900298655485
14022,0.0,0.0
14024,0.0,0.0
14038,0.0,0.0
14041,0.0,0.0
14042,0.0,0.0
14044,0.0,0.0
14045,0.0,0.0
14046,0.0,0.0
14048,0.0,0.0
14056,0.7702200877671254,0.01754487671451311
14063,0.0,0.0
14004,0.0,0.0
14015,4.830282393632581,0.037599499690964565
14031,0.0,0.0
14037,0.0,0.0
14039,0.0,0.0
14055,0.8144689910197592,0.010410766821726791
14058,0.0,0.0
14075,0.0,0.0
18003,0.0,0.0
18011,0.0,0.0
18014,0.0,0.0
18021,0.0,0.0
18022,0.0,0.0
18024,0.0,0.0
18036,0.0,0.0
18037,0.0,0.0
18047,0.0,0.0
18059,0.0,0.0
18062,0.0,0.0
18048,0.0,0.0
18050,2.9861573353058404,0.10027391992296307
18057,0.0,0.0
18068,6.7821660860765975,0.05044377899647898
18070,0.0,0.0
18079,0.0,0.0
18905,0.0,0.0
18084,0.0,0.0
18087,8.24296707401431,0.05674629680582618
18094,5.798251898648934,0.10461626549236676
18095,0.0,0.0
18099,0.6251412219279671,0.04289133598133565
18100,0.0,0.0
18101,0.0,0.0
18111,0.0,0.0
18115,0.0,0.0
18122,0.0,0.0
18127,0.0,0.0
18134,3.21037160581184,0.04497893668387867
18138,0.0,0.0
18144,0.0,0.0
18145,0.0,0.0
18153,0.0,0.0
18157,0.0,0.0
18158,12.609241194007877,0.053802872478272215
18165,0.0,0.0
18168,0.0,0.0
18171,0.0,0.0
18175,0.0,0.0
18914,0.0,0.0
18911,0.0,0.0
18149,0.0,0.0
18188,0.0,0.0
18189,0.0,0.0
18913,0.0,0.0
18193,0.0,0.0
18005,0.0,0.0
18010,0.0,0.0
18015,0.0,0.0
18018,0.0,0.0
18025,0.0,0.0
18027,0.0,0.0
18114,0.0,0.0
18049,0.0,0.0
18054,0.0,0.0
18063,0.0,0.0
18064,0.0,0.0
18067,0.0,0.0
18069,0.0,0.0
18074,0.0,0.0
18076,3.1958450071463034,0.03111825712898056
18085,0.0,0.0
18086,0.0,0.0
18089,0.5575522588081503,0.01234205332170781
18096,0.0,0.0
18097,1.1195592206196954,0.025697610266710687
18108,7.9642281779923625,0.18125234815640331
18117,3.961529779475453,0.07578249219465238
18123,8.60428422045443,0.17382392364554403
18128,0.0,0.0
18154,0.39694708662587913,0.039497222549838715
18161,0.0,0.0
18167,0.0,0.0
18907,0.6101197610186796,0.027607229005370118
18187,0.0,0.0
18023,0.0,0.0
18029,0.0,0.0
18039,0.0,0.0
18053,0.0,0.0
18912,0.0,0.0
18056,0.0,0.0
18078,0.0,0.0
18194,0.0,0.0
18045,1.241447665048357,0.022862756262400682
18046,0.31932035629454836,0.0205747652251642
18082,0.0,0.0
18098,1.577117230375654,0.016935487037590916
18146,0.0,0.0
18164,0.0,0.0
18002,0.0,0.0
18028,0.0,0.0
18038,0.0,0.0
18051,0.0,0.0
18065,0.0,0.0
18066,0.0,0.0
18915,0.0,0.0
18083,0.0,0.0
18088,0.0,0.0
18105,0.0,0.0
18136,0.0,0.0
18137,0.0,0.0
18909,0.0,0.0
18152,0.0,0.0
18159,0.0,0.0
18178,0.0,0.0
18012,0.0,0.0
18102,1.2030539186076756,0.015196470550833797
18132,0.0,0.0
18135,0.0,0.0
18001,0.0,0.0
18013,0.0,0.0
18020,0.0,0.0
18034,0.0,0.0
18061,8.089576874682075,0.05534740609388394
18072,0.0,0.0
18077,0.0,0.0
18106,0.0,0.0
18107,0.0,0.0
18126,0.0,0.0
18174,0.0,0.0
18185,0.0,0.0
18192,0.0,0.0
18004,0.0,0.0
18006,0.0,0.0
18017,0.0,0.0
18906,0.0,0.0
18093,0.0,0.0
18103,0.0,0.0
