CMUN,HOUSING_RESIDENT_BUILDINGS_PER_CAPITA_2011
44001,1.7307692307692308
40001,1.0550122249388754
10001,0.9416666666666667
27001,1.1559351730179588
48001,0.7506947201270345
31001,1.4047619047619047
09001,3.3793103448275863
26001,1.5617021276595744
20001,0.8795986622073578
19001,3.381818181818182
30001,1.164769831832852
50001,2.5057471264367814
48002,0.8908045977011494
30002,0.867010229982309
34001,1.1333333333333333
31002,0.9035250463821892
31003,1.037593984962406
31004,1.2758620689655173
15001,0.9157395586357834
42001,1.9700374531835205
44002,3.3157894736842106
25001,0.8994082840236687
02001,1.06993006993007
13001,1.3416102332580888
31005,1.0664739884393064
10002,1.4613466334164589
49002,1.706896551724138
16001,3.2413793103448274
34003,1.401197604790419
22001,1.2435424354243543
22002,0.9172413793103448
04001,1.3820492454328832
19002,4.816666666666666
31006,1.000805801772764
08001,0.7682287529785544
04002,1.0421487603305786
37001,2.1197604790419162
28001,3.1206896551724137
24001,1.9297297297297298
10003,2.173758865248227
16002,1.2599118942731278
06001,1.0097919216646267
10004,1.1707616707616708
10005,1.169811320754717
50002,2.3405797101449277
06002,0.8319956220357534
22003,1.0209424083769634
47001,1.0384615384615385
14001,0.837929366231253
05001,1.9494949494949494
38001,0.8773845929809233
46001,1.844488188976378
31007,1.1564625850340136
19003,3.53125
46002,0.823247453565009
04003,0.7977702568186342
09003,1.517766497461929
40002,2.918918918918919
05002,1.8593463092177744
42003,2.078125
40003,2.9761904761904763
03001,1.4542483660130718
20002,0.8598326359832636
35001,0.9496185914493525
37002,2.280701754385965
25002,1.8202247191011236
36020,1.2097902097902098
50003,1.4477611940298507
26002,1.1769366197183098
03002,0.9229508196721311
25003,0.8915949459805896
42004,1.0916133378241832
03003,1.5748709122203097
18001,1.4140625
41001,0.9771938522558254
50004,1.504823151125402
09006,3.5
47002,1.588235294117647
44003,1.8823529411764706
44004,1.716117216117216
13002,1.47179169249845
22004,2.2302158273381294
40004,1.7207207207207207
09007,2.2264150943396226
34004,1.0969990906335254
47003,1.3449612403100775
31008,2.5217391304347827
14002,0.8917436706483359
08002,1.147887323943662
44005,2.513157894736842
26003,2.0131291028446388
30003,0.942742071762519
50005,1.7792792792792793
35002,0.7769225916345972
17001,0.9436936936936937
46004,0.9742507387083158
38002,0.9287003610108303
10006,1.1875
37003,2.192982456140351
37004,2.9583333333333335
06003,1.4206815511163338
20016,0.8056240749876665
31009,1.012771392081737
46042,0.8439886537202705
46043,1.187878787878788
08014,0.8929133858267716
43001,1.2646443514644352
17002,0.6653992395437263
03004,1.2848948374760993
12002,2.4074074074074074
22907,0.8933855526544822
50006,1.2163461538461537
22006,4.704615384615384
25038,0.7887966804979253
20003,0.7566204287515763
28002,0.7170641352164853
26004,1.5818181818181818
48911,0.7582644628099173
45001,0.87201442091032
44006,2.195744680851064
50007,2.8448275862068964
47004,1.2719298245614035
50008,0.8734505621216488
10903,0.8516129032258064
07002,0.973574853489611
21001,1.215442092154421
38003,1.2105798575788402
