CTOT,M3_length
0104003,1.0848952347964347
0104008,3.354295149978114
0104011,1.033477620383577
0104013,83.57398728234433
0104017,4.165645722713557
0104018,6.362554783110695
0104031,14.078929073347009
0104032,7.525946202583914
0104035,10.965863211481544
0104044,4.960792478569497
0104049,0.02113357955271683
0104052,0.36260401758305566
0104053,1.1436095867787355
0104060,15.363999918782175
0104064,2.345311823834448
0104066,9.959872012053673
0104069,5.164289638417176
0104075,11.883636890036634
0104076,10.373028000126256
0104079,19.96168484719342
0104083,14.970186791626892
0104091,0.27587746401645247
0104092,6.769888326733375
0104098,0.4123480850306158
0104100,21.132081898717804
0104902,29.85388445176322
0104903,8.154918711949286
0104904,0.4738371356307511
0111001,1.9408044706526268
0111004,21.597138540568775
0111006,9.689984741976224
0111007,3.2888599142113195
0111008,1.4682062006972
0111012,26.11079617632938
0111013,17.257170347611716
0111014,8.422707510887133
0111015,51.152204562504
0111016,25.498293838127424
0111020,65.75096004726569
0111022,5.509296856372732
0111023,8.493324043101772
0111024,19.256615201034904
0111027,33.1604361493823
0111028,22.837108127000946
0111029,10.24999459935501
0111030,49.010046523490445
0111031,29.6707055122347
0111032,17.93112247961444
0111033,23.903355236580868
0111035,2.3336503544047096
0111039,9.720135471782383
0111901,0.34470626261194953
0114001,12.680029927380263
0114002,5.528171042374808
0114007,32.99099563037953
0114013,13.856328085008313
0114017,9.71341665680399
0114019,8.597582567114245
0114021,102.06855088712928
0114022,12.47298399154886
0114033,17.973579244316454
0114038,23.068414125370598
0114039,20.884067376478182
0114042,1.2807628126296875
0114043,13.427953384553586
0114045,7.940595934025161
0114047,8.075893811479919
0114049,0.18065937415469868
0114050,7.232939478928054
0114052,0.9343815279117038
0114053,1.9931985281193054
0114056,5.528171042374808
0114057,9.689506889545177
0114075,12.816588649183311
0118003,3.851437060997692
0118014,4.182151235231602
0118017,3.39616934758924
0118021,7.1349910078451355
0118022,4.8184881908382975
0118023,21.832850085273385
0118036,0.45173359925213413
0118039,19.224639996381566
0118047,0.31935650090437806
0118057,0.30392554472557726
0118059,5.742921630063991
0118061,4.812905963767151
0118062,6.580683328955316
0118078,5.331127783760151
0118079,1.7879411691015727
0118087,52.8165656228087
0118089,1.4571079244268565
0118099,0.08376249144080507
0118100,1.16726977378431
0118101,1.2939417767520236
0118111,2.059558384630564
0118126,0.9712810501372938
0118127,2.374892265798457
0118134,7.407491962440492
0118140,15.226651783668963
0118145,4.285482689791693
0118149,1.1921916998785922
0118153,4.791208504723973
0118157,0.31935650090437806
0118158,1.6324001345990933
0118164,0.5379187311449621
0118165,4.203148818150445
0118168,0.371992136083044
0118173,2.7967995329738224
0118175,4.0708444273738715
0118193,8.160577535817582
0118194,6.63692251707277
0118905,2.25403060936317
0118911,3.7979706195729626
0121002,19.358722703915113
0121003,10.296377213866606
0121005,28.513731121969002
0121010,19.68130870675227
0121011,1.3207382803501095
0121021,8.495712082017635
0121035,6.7604523910132235
0121037,16.309417666489118
0121041,21.00405063546527
0121042,9.114376126884045
0121044,2.4288394199219825
0121046,1.0048165652132208
0121050,9.884880840676828
0121052,2.434351224271476
0121053,3.517483547178028
0121055,3.257673494927348
0121060,18.31845901389461
0121072,7.359317038173076
0123003,19.13090350167898
0123005,2.9682976589256227
0123009,4.842459387578397
0123018,0.12480736839452887
0123028,6.640684271456434
0123030,14.53533907406797
0123037,12.467170477034871
0123038,0.26562598569022955
0123044,0.8665541430669246
0123046,0.2119922584658279
0123047,6.475773208891187
0123050,20.097955467789603
0123055,11.704948820431094
0123057,4.310808073196254
