CMUN,M4
02001,0.1336898395721925
02002,0.20161290322580644
02003,0.17368951262722757
02004,0.0
02005,0.0
02006,0.0
02007,0.0
02008,0.15267175572519084
02009,0.0
02010,0.0
02011,0.5154639175257731
02012,0.0
02014,0.0
02013,0.0
02015,0.0
02016,0.0
02017,0.0
02018,0.09699321047526674
02019,0.0
02020,0.20161290322580644
02021,0.0
02022,0.3048780487804878
02023,0.0
02024,0.022026431718061675
02025,0.0
02026,0.0
02029,0.02302025782688766
02027,0.0
02028,0.7462686567164178
02030,0.0
02031,0.0
02032,0.35714285714285715
02033,0.0
02034,0.10893246187363835
02035,0.03915426781519186
02036,0.0
02037,0.0
02038,0.0
02039,0.0
02040,0.16722408026755853
02041,0.5509641873278237
02042,0.0
02043,0.07564296520423601
02044,0.0
02045,0.0
02046,0.0
02047,0.0
02048,0.0
02049,0.24125452352231602
02050,0.0
02051,0.04906771344455348
02052,0.0
02053,0.0
02054,0.0
02055,0.0
02056,0.0
02057,0.0
02058,0.0
02060,0.0
02059,0.0
02061,0.0
02062,0.0
02901,0.0
02063,0.0
02064,0.0
02065,0.0
02066,0.0
02067,0.0
02068,0.7672634271099744
02069,0.0
02070,0.0
02071,0.0
02072,0.05714285714285715
02073,0.0
02074,0.01300221037576388
02075,0.05136106831022085
02076,0.0
02077,0.0
02078,0.0
02079,0.0
02080,0.0
02081,0.004003523100328288
02082,0.9259259259259258
02083,0.0
02084,0.6006006006006006
02085,0.0
02086,0.07791195948578107
03002,0.020383204239706482
03003,0.0
03004,0.0
03005,0.0
03006,0.2245508982035928
03007,0.0
03008,0.0
03009,0.14713841158165336
03010,0.0
03011,0.014637716516223469
03012,0.0
03013,0.07496251874062969
03014,0.22235135071033843
03015,0.03270416744533732
03016,0.0
03017,0.0
03018,0.013240940989539656
03019,0.0
03001,0.0
03020,0.7462686567164178
03021,0.0
03022,0.0
03023,0.0
03024,0.018338529249954154
03025,0.10214504596527069
03026,0.26942074539739563
03027,0.0
03028,0.0
03030,0.17152658662092624
03031,0.2937006279116873
03032,0.0
03033,0.0
03029,0.2070393374741201
03034,0.06018657839301836
03035,0.0
03036,0.0
03037,0.19960079840319359
03038,0.0
03039,0.0
03040,0.48192771084337355
03041,0.05234688536032106
03042,0.06746120980436249
03043,0.0
03044,0.08578781812982557
03045,0.2347417840375587
03046,0.4365450576863112
03049,0.020754423286462927
03048,0.013176966662274345
03047,0.042498937526561836
03050,0.2929721159480233
03051,0.0
03052,0.0
03053,0.018601190476190476
03054,0.0
03075,0.0
03055,0.0
03056,0.12226006462317703
03057,0.0
03058,0.0
03059,0.0067301544570447895
03061,0.056915196357427436
03062,0.2828854314002829
03063,0.36318767024422044
03064,0.026246719160104987
03065,0.17121752311009586
03066,0.03425244048638465
03067,0.0
03068,0.0
03069,0.4188057281815726
03077,0.037965072133637055
03070,0.09222965183306434
03072,0.0
03071,0.09641651936365098
03073,0.0
03074,0.0
03076,0.3003190890320966
03078,0.0
03079,0.00845594452900389
03080,0.0
