CTOT,ECR4
1003124,11.857142857142858
1003125,14.666666666666666
1046224,12.142857142857142
0908222,17.428571428571427
0908223,13.268292682926829
1003127,12.40625
1003128,15.757575757575758
1003131,14.5
1726031,10.333333333333334
1003129,12.228571428571428
1003130,10.294117647058824
1046248,13.333333333333334
0908224,12.555555555555555
1003132,11.405405405405405
1003133,19.714285714285715
1003134,11.095238095238095
1003135,11.212121212121213
1003136,11.923076923076923
1726065,10.6
1003137,11.75
1003138,14.5
1003139,14.423728813559322
1003904,18.916666666666668
1531033,8.11111111111111
1003140,13.040462427745664
1003901,15.0
1003902,18.276315789473685
1003903,19.928571428571427
1531013,9.483870967741936
1531014,11.0
1531253,10.0
1531249,12.957446808510639
1531254,13.042553191489361
1531262,10.642857142857142
0753006,8.0
1620901,10.136363636363637
1620902,14.166666666666666
1620906,11.0
0111016,18.558823529411764
1531034,8.25
1531251,12.329113924050633
1531256,7.826086956521739
0753007,9.5
0111017,18.688
1531252,7.7105263157894735
0111018,15.620689655172415
1531255,10.538461538461538
0111022,19.62962962962963
0111023,16.915811088295687
0111024,15.926701570680628
0753008,8.333333333333334
1110092,11.659090909090908
0111025,18.0
0111026,16.104166666666668
0111027,20.0
0111028,21.02051282051282
0753009,8.2
0111019,12.82258064516129
0111020,18.339797639123102
0111021,14.531772575250836
1531257,11.346153846153847
1531258,15.0
1531261,9.045454545454545
1726073,11.090909090909092
1110093,10.210526315789474
1110094,10.907563025210084
1531259,9.9375
1531260,9.0398406374502
0222162,12.0
0222163,8.98
1012001,9.76388888888889
1012002,9.083333333333334
0111029,16.71951219512195
0111030,18.228915662650603
0111031,22.483870967741936
1531263,9.375
1531264,9.666666666666666
1531265,9.533333333333333
1531901,12.068129707193311
0111032,19.005988023952096
0111033,17.163120567375888
1620006,10.285714285714286
1620903,14.7
1620904,11.333333333333334
1620905,12.0
1012003,9.621951219512194
1012004,11.323353293413174
1012005,11.308510638297872
1012006,9.419354838709678
1012007,10.379310344827585
1012008,9.2
1012009,14.696969696969697
1012010,10.0
0244237,12.048780487804878
1012011,13.846153846153847
1012012,11.625954198473282
1012013,8.88888888888889
1012014,8.025641025641026
1012015,9.1875
1012016,11.0
1012017,9.25
0253076,10.0
1012018,10.0
1012020,8.878048780487806
1012021,12.863636363636363
0753071,12.068129707193311
1012022,8.658536585365853
1012024,9.2
1110097,10.571428571428571
1110101,12.545454545454545
1110098,11.890625
1531021,9.5
0253077,8.0
1110099,12.027777777777779
1110100,9.4
1531035,11.083333333333334
1531017,8.725806451612904
1531022,9.451612903225806
0114006,13.628318584070797
0114007,18.407103825136613
0114008,13.764044943820224
1531018,11.076923076923077
1531019,9.5
1531020,10.21951219512195
1110102,11.868421052631579
1110103,10.874285714285714
0111037,19.112676056338028
1620907,10.333333333333334
0111036,16.61111111111111
0250141,9.545454545454545
0111034,15.822784810126583
0111035,16.480861244019138
0753029,8.833333333333334
1110107,14.280701754385966
1110108,11.767857142857142
1110109,12.342465753424657
1110110,13.35897435897436
1110111,15.463414634146341
1110112,13.784313725490197
1110113,11.053030303030303
1653048,8.696969696969697
1110114,13.705882352941176
1653000,8.578947368421053
1648001,13.13888888888889
0709355,10.0
0111038,14.117647058823529
0111039,17.469924812030076
0705170,11.4
1110115,11.34375
1110116,11.97027027027027
