CMUN,D3
01001,0.9998165775605772
01002,0.9349238578680203
01003,0.8920911528150134
01004,0.9768392370572208
01006,0.9888268156424581
01008,0.9593345656192237
01009,0.9715306114559358
01010,0.9366330390920555
01011,1.0
01013,0.8873239436619719
01014,0.9183976261127598
01016,0.8903225806451612
01017,1.0
01018,0.9674017257909875
01019,1.0
01020,0.9508583172147003
01021,0.988013698630137
01022,1.0
01023,1.0
01027,0.9184320593330962
01028,1.0
01030,1.0
01031,1.0
01032,1.0
01033,1.0
01034,1.0
01036,0.9911269877852039
01037,0.9963289280469897
01039,1.0
01041,1.0
01042,0.924071082390953
01043,1.0
01044,0.9288256227758008
01046,0.9336734693877551
01047,0.9992957746478873
01049,0.9508928571428571
01051,0.9901001128606182
01052,1.0
01053,0.896792514984654
01054,0.9684210526315788
01055,0.8996723996723996
01056,0.9893617021276596
01057,1.0
01058,0.9771817611396717
01059,0.9908107598893523
01060,1.0
01061,0.9796747967479675
01062,1.0
01063,0.969937122454105
01901,0.9866491926237478
01902,0.9633431085043989
02001,1.0
02002,1.0
02003,1.0
02004,1.0
02005,1.0
02006,1.0
02007,1.0
02008,1.0
02009,0.999302649930265
02010,1.0
02011,1.0
02012,1.0
02013,1.0
02014,1.0
02015,1.0
02016,1.0
02017,1.0
02018,1.0
02019,0.9989658738366081
02020,1.0
02021,1.0
02022,1.0
02023,1.0
02024,1.0
02025,1.0
02026,1.0
02027,1.0
02028,0.0825515947467167
02029,1.0
02030,1.0
02031,1.0
02032,1.0
02033,1.0
02034,1.0
02035,1.0
02036,1.0
02037,0.9960544217687075
02038,1.0
02039,1.0
02040,1.0
02041,1.0
02042,1.0
02043,1.0
02044,1.0
02045,1.0
02046,1.0
02047,1.0
02048,1.0
02049,1.0
02050,1.0
02051,1.0
02052,1.0
02053,1.0
02054,1.0
02055,0.8102782071097373
02056,1.0
02057,0.9956653662765497
02058,1.0
02059,1.0
02060,1.0
02061,1.0
02062,0.9987654320987654
02063,1.0
02064,1.0
02065,1.0
02066,1.0
02067,0.9910141206675225
02068,1.0
02069,0.9898676350005857
02070,0.9983766233766234
02071,1.0
02072,1.0
02073,1.0
02074,1.0
02075,1.0
02076,1.0
02077,1.0
02078,1.0
02079,1.0
02080,1.0
02081,0.9939565692433762
02082,1.0
02083,1.0
02084,0.862059214399953
02085,1.0
02086,0.8793677204658902
02901,1.0
03001,0.8021433986537712
03002,0.9843189222945082
03003,0.7272727272727273
03004,0.9562697576396206
03005,0.9993924665856622
03006,0.9600760456273764
03007,0.9978260869565218
03008,0.9348837209302325
03009,0.9921451873436163
03010,0.822289156626506
03011,0.8952685897963665
03012,0.9827748630690187
03013,0.9996257485029942
03014,0.9832147898794658
03015,0.9966948575872461
