CTOT,D1
1227028,1.0
1046227,1.0
0705077,1.0
1601001,1.0
1601002,1.0
1601014,1.0
1046216,1.0
1726086,1.0
1648097,1.0
1648901,1.0
1648902,1.0
1648903,1.0
1232065,1.0
0705078,1.0
1726003,1.0
1232066,1.0
0709068,1.0
1531080,1.0
1531081,1.0
1232063,1.0
1232064,1.0
1232068,1.0
1046228,1.0
1232069,1.0
1232070,1.0
1232071,1.0
1232072,1.0
0118040,1.0
0118035,1.0
0118042,1.0
0118043,1.0
1232080,1.0
1232081,1.0
1232082,1.0
1726087,1.0
1232088,1.0
1046219,1.0
1046220,1.0
1110203,1.0
0705084,1.0
1232089,1.0
1232090,1.0
1232091,1.0
1046221,1.0
1236002,1.0
1236003,1.0
1236004,1.0
1046222,1.0
0118047,1.0
1236013,1.0
1046223,1.0
1046217,1.0
1046218,1.0
1046229,1.0
1046230,1.0
1726009,1.0
0118044,1.0
0250231,1.0
1726004,1.0
1726005,1.0
1726006,1.0
1726007,1.0
0250162,1.0
1726008,1.0
1726010,1.0
1046056,1.0
0250163,1.0
0118045,1.0
0118046,1.0
0753031,0.0
0118048,1.0
0118049,1.0
0753032,0.0
1726017,1.0
1726021,1.0
0753033,0.0
1726023,1.0
1726024,1.0
1046064,1.0
1046231,1.0
1726025,1.0
1046065,1.0
1046232,1.0
1046233,1.0
1046234,1.0
1046235,1.0
1046236,1.0
1046040,1.0
1046066,1.0
1046038,1.0
1726157,1.0
1046041,1.0
1046042,1.0
0753034,0.0
1046045,1.0
1046046,1.0
0250239,1.0
0250240,1.0
1046047,1.0
1046048,1.0
1012131,1.0
0118050,1.0
0705085,1.0
0118051,1.0
0118053,1.0
0118054,1.0
0118056,1.0
1110164,1.0
1046049,1.0
1046050,1.0
1046051,1.0
1046052,1.0
1046057,1.0
1046058,1.0
1046240,1.0
1046059,1.0
1046060,1.0
1046061,1.0
1046241,1.0
1046062,1.0
1046063,1.0
0753010,0.0
1046067,1.0
1046068,1.0
1046069,1.0
1726075,1.0
1046070,1.0
1236016,1.0
1236017,1.0
1110149,1.0
1726076,1.0
1110159,1.0
1046242,1.0
1110160,1.0
1110161,1.0
1110162,1.0
1110163,1.0
0250176,1.0
1046239,1.0
1726077,1.0
1046243,1.0
1046244,1.0
0250188,1.0
0250189,1.0
1046245,1.0
1110184,1.0
1236021,1.0
1236022,1.0
1236023,1.0
1236024,1.0
1110185,1.0
1110186,1.0
1110165,1.0
1110187,1.0
0709382,1.0
1110166,1.0
1012078,1.0
1110172,1.0
1726028,1.0
1726027,1.0
1726029,1.0
1726030,1.0
0118057,1.0
0753035,0.0
0118059,1.0
1110188,1.0
0753036,0.0
0753037,0.0
0753038,0.0
1110183,1.0
1012073,1.0
1110192,1.0
1012074,1.0
1012079,1.0
1012080,1.0
1046083,1.0
1012081,1.0
0753039,0.0
1726080,1.0
1726081,1.0
0129036,1.0
1046084,1.0
1012077,1.0
1012072,1.0
0753040,0.0
1012075,1.0
1012076,1.0
0222167,1.0
1046087,1.0
1046088,1.0
1046089,1.0
1726082,1.0
1726083,1.0
1726084,1.0
0222168,1.0
1046090,1.0
1046091,1.0
0222176,1.0
1012105,1.0
0222202,1.0
0118061,1.0
0118062,1.0
0118063,1.0
0118064,1.0
0118065,1.0
1012106,1.0
1012107,1.0
1012108,1.0
1012109,1.0
1012110,1.0
1726088,1.0
1726091,1.0
0222233,1.0
1110193,1.0
1726092,1.0
0709019,1.0
1110194,1.0
1110195,1.0
1110196,1.0
0118066,1.0
0244187,1.0
0118067,1.0
0118068,1.0
0118069,1.0
0250028,1.0
0118070,1.0
0118071,1.0
0118072,1.0
0118074,1.0
0118076,1.0
1012133,1.0
1110197,1.0
1012137,1.0
1012138,1.0
1012139,1.0
1110201,1.0
1110202,1.0
1012130,1.0
0250010,1.0
1110204,1.0
1110205,1.0
1110206,1.0
1012132,1.0
0222064,1.0
1012134,1.0
1012140,1.0
1012135,1.0
1012136,1.0
1012141,1.0
1046904,1.0
1106001,1.0
0118077,1.0
1012142,1.0
1012901,1.0
0118078,1.0
1726093,1.0
1046247,1.0
1046246,1.0
1726094,1.0
1726095,1.0
1726096,1.0
1106005,1.0
1106006,1.0
1106007,1.0
1726032,1.0
1726033,1.0
1726035,1.0
1046903,1.0
1726042,1.0
1106002,1.0
1106003,1.0
1106004,1.0
1106008,1.0
1106009,1.0
1726043,1.0
1106010,1.0
1726034,1.0
0118079,1.0
1726038,1.0
1726039,1.0
1726040,1.0
1726041,1.0
1726044,1.0
1726045,1.0
0118083,1.0
1531084,1.0
1531085,1.0
0747020,1.0
1726046,1.0
0118084,1.0
0118085,1.0
0118086,1.0
0118087,1.0
1531086,1.0
1531087,1.0
0244112,1.0
0118082,1.0
1726054,1.0
1726055,1.0
0250014,1.0
1726056,1.0
0118095,1.0
0250015,1.0
0118088,1.0
0118089,1.0
0118093,1.0
0118094,1.0
0118102,1.0
0118103,1.0
0118105,1.0
1726057,1.0
1726058,1.0
0118111,1.0
0118096,1.0
0118097,1.0
0118098,1.0
0118099,1.0
0118100,1.0
0118101,1.0
0118106,1.0
0118112,1.0
0118107,1.0
0118108,1.0
0118109,1.0
1726059,1.0
0118115,1.0
0709184,1.0
0118114,1.0
0709139,1.0
1726060,1.0
1726064,1.0
0118116,1.0
1726066,1.0
1726067,1.0
1726068,1.0
1601030,1.0
1726069,1.0
1726070,1.0
0250019,1.0
1726071,1.0
1726072,1.0
1106035,1.0
1106036,1.0
1726074,1.0
1601017,1.0
1601018,1.0
1601019,1.0
0709154,1.0
0709155,1.0
0118117,1.0
0709159,1.0
0118119,1.0
1726078,1.0
0244204,1.0
0118120,1.0
1726079,1.0
0118121,1.0
0118122,1.0
0118123,1.0
0118133,1.0
0118134,1.0
0118135,1.0
0118136,1.0
0118137,1.0
0118124,1.0
0118126,1.0
0118127,1.0
0118128,1.0
0118132,1.0
1601028,1.0
0118145,1.0
0118138,1.0
0118140,1.0
0118141,1.0
0118143,1.0
0118144,1.0
0724082,1.0
0118146,1.0
0118147,1.0
0118148,1.0
0118149,1.0
1601047,1.0
0118150,1.0
0244207,1.0
0118151,1.0
0118152,1.0
1601049,1.0
0118153,1.0
0118154,1.0
0118157,1.0
0118158,1.0
0118159,1.0
0118161,1.0
1601051,1.0
0244208,1.0
0118162,1.0
0118163,1.0
0118164,1.0
0118165,1.0
0118167,1.0
0118168,1.0
0118170,1.0
0118171,1.0
0118173,1.0
0118174,1.0
0118175,1.0
1601052,1.0
0118176,1.0
0118177,1.0
0118178,1.0
0118179,1.0
1601053,1.0
0816147,1.0
0118180,1.0
0943129,1.0
0118181,1.0
0943130,1.0
0118182,1.0
0118183,1.0
0118185,1.0
0118187,1.0
0118184,1.0
0222086,1.0
0118188,1.0
0118189,1.0
0222087,1.0
0118192,1.0
0118193,1.0
0816163,1.0
